Database: data/lotto-2001-2020.sqlite3
Estrazioni target analizzate: 2883
Intervallo: 4 del 2001-01-13 → 2886 del 2020-12-31
Definizione ottenuta: vengono intercettate almeno N-1 cifre Mancanti; con N=1 è richiesta l'unica cifra mancante.
Nota: Markov rappresenta la probabilità media di copertura completa; Atteso rappresenta invece la probabilità teorica esatta della soglia qui contata.

Ordinamento: Manc. ↑, TOP ↑

===== STATISTICA PER FASCIA =====
TOP  Manc.  Soglia    Markov    Atteso   Casi  Ottenute  Mancate  Successo    Scarto  Cifre/caso     Evidenza
---  -----  ------   -------   -------  -----  --------  -------  --------  --------  ----------  -----------
  1      1       1   59.03%   59.03%   7048      4105     2943   58.24%   -0.79%       0.582       strong
  2      1       1   58.92%   58.92%   1901      1107      794   58.23%   -0.68%       0.582       strong
  3      1       1   59.44%   59.44%    537       326      211   60.71%   +1.27%       0.607       strong
  4      1       1   61.10%   61.10%    327       189      138   57.80%   -3.30%       0.578     moderate
  5      1       1   59.44%   59.44%     97        58       39   59.79%   +0.35%       0.598  preliminary
  6      1       1   59.02%   59.02%      5         3        2   60.00%   +0.98%       0.600    anecdotal
  1      2       1   37.67%   87.75%   2270      1980      290   87.22%   -0.53%       1.251       strong
  2      2       1   38.79%   88.30%   1772      1584      188   89.39%   +1.09%       1.296       strong
  3      2       1   37.35%   87.62%    153       138       15   90.20%   +2.58%       1.346     moderate
  4      2       1   37.59%   87.56%     45        39        6   86.67%   -0.89%       1.133  preliminary
  5      2       1   38.93%   88.34%     53        43       10   81.13%   -7.21%       1.245  preliminary
  6      2       1   39.07%   88.12%      5         3        2   60.00%  -28.12%       1.000    anecdotal
  1      3       2   23.39%   72.15%   1938      1429      509   73.74%   +1.59%       1.959       strong
  2      3       2   21.88%   70.43%    128        92       36   71.88%   +1.44%       1.930     moderate
  3      3       2   23.66%   72.43%   1856      1330      526   71.66%   -0.78%       1.940       strong
  4      3       2   24.73%   73.43%      5         5        0  100.00%  +26.57%       2.200    anecdotal
  1      4       3   13.45%   55.18%   2154      1199      955   55.66%   +0.48%       2.568       strong
  2      4       3   13.61%   55.47%    295       163      132   55.25%   -0.21%       2.593     moderate
  3      4       3   11.16%   51.00%      3         2        1   66.67%  +15.67%       3.000    anecdotal
  4      4       3   13.47%   55.21%    704       386      318   54.83%   -0.38%       2.568       strong
  1      5       4    7.25%   39.45%    597       226      371   37.86%   -1.60%       3.226       strong
  2      5       4    7.24%   39.42%    304       105      199   34.54%   -4.88%       3.151     moderate
  5      5       4    6.97%   38.72%     32        12       20   37.50%   -1.22%       3.188  preliminary
  1      6       5    3.54%   25.96%     63        19       44   30.16%   +4.20%       3.905  preliminary
  2      6       5    3.53%   25.98%     25         4       21   16.00%   -9.98%       4.000  exploratory
  3      6       5    3.64%   26.40%      6         1        5   16.67%   -9.73%       3.667    anecdotal

Totale osservazioni ruota-target: 22323
Totale ottenute: 14548/22323 (65.17%)
CSV esportato: _work/reports/consolidated-coverage/coverage-hits-2001-2020.csv
