top,missing,threshold,markov_probability,expected_probability,cases,obtained,missed,success_rate,excess,mean_hit_digits,evidence_level
1,1,1,0.5917306718669479,0.5917306718669479,2164,1277,887,0.5901109057301294,-0.001619766136818579,0.5901109057301294,strong
2,1,1,0.5914863649086508,0.5914863649086508,634,367,267,0.5788643533123028,-0.012622011596348015,0.5788643533123028,strong
3,1,1,0.5946049751975598,0.5946049751975598,176,110,66,0.625,0.030395024802440163,0.625,moderate
4,1,1,0.6157296455360122,0.6157296455360122,111,66,45,0.5945945945945946,-0.021135050941417544,0.5945945945945946,moderate
5,1,1,0.6244838025516147,0.6244838025516147,24,17,7,0.7083333333333334,0.08384953078171864,0.7083333333333334,exploratory
6,1,1,0.681643298359372,0.681643298359372,3,2,1,0.6666666666666666,-0.014976631692705356,0.6666666666666666,anecdotal
1,2,1,0.3762021339651479,0.8775351733454582,743,635,108,0.8546433378196501,-0.02289183552580809,1.2368775235531628,strong
2,2,1,0.38628581194584627,0.8820802381926351,607,538,69,0.886326194398682,0.004245956206046841,1.2685337726523889,strong
3,2,1,0.3766613012851508,0.8779285493073663,61,52,9,0.8524590163934426,-0.02546953291392373,1.2622950819672132,preliminary
4,2,1,0.37351962835877034,0.8754479767444591,12,9,3,0.75,-0.12544797674445907,1.25,exploratory
5,2,1,0.37941818070080957,0.8783431929882288,13,12,1,0.9230769230769231,0.0447337300886943,1.2307692307692308,exploratory
6,2,1,0.3983270513932868,0.8887468842484475,3,3,0,1.0,0.1112531157515525,2.0,anecdotal
1,3,2,0.2322668050282046,0.7198613780466918,616,424,192,0.6883116883116883,-0.031549689735003494,1.9025974025974026,strong
2,3,2,0.2219977079026663,0.709038198315385,50,31,19,0.62,-0.08903819831538495,1.74,preliminary
3,3,2,0.23535708519819265,0.7230739850226882,566,422,144,0.7455830388692579,0.02250905384656976,1.9575971731448762,strong
4,3,2,0.184107048153794,0.6711457856362933,3,2,1,0.6666666666666666,-0.004479118969626716,2.0,anecdotal
6,3,2,0.2863168506014707,0.7779687252128977,1,1,0,1.0,0.22203127478710227,2.0,anecdotal
1,4,3,0.13245000270939836,0.5479781095883981,673,383,290,0.5690936106983655,0.021115501109967405,2.5928677563150075,strong
2,4,3,0.1422371247358,0.566233711246649,103,53,50,0.5145631067961165,-0.05167060445053251,2.5145631067961167,moderate
3,4,3,0.1155087725238108,0.5103638586198977,1,1,0,1.0,0.48963614138010225,3.0,anecdotal
4,4,3,0.13559509708939604,0.5537711366735453,218,120,98,0.5504587155963303,-0.0033124210772149665,2.591743119266055,moderate
1,5,4,0.07131337542447462,0.39109619077114544,202,65,137,0.3217821782178218,-0.06931401255332365,3.118811881188119,moderate
2,5,4,0.07408700701033498,0.39910254838580167,106,41,65,0.3867924528301887,-0.012310095555612965,3.2358490566037736,moderate
5,5,4,0.0751286324040709,0.4022299620553407,15,9,6,0.6,0.1977700379446593,3.7333333333333334,exploratory
1,6,5,0.03654100678081847,0.2643359725581781,24,11,13,0.4583333333333333,0.19399736077515523,4.333333333333333,exploratory
2,6,5,0.03720409328925966,0.2680393372346197,9,1,8,0.1111111111111111,-0.1569282261235086,3.6666666666666665,anecdotal
3,6,5,0.04343239573409972,0.2924126517875112,2,0,2,0.0,-0.2924126517875112,4.0,anecdotal
