Database: data/lotto-1871-2025.sqlite3
Estrazioni target analizzate: 10776
Intervallo: 4 del 1871-01-28 → 10779 del 2025-12-30
Definizione ottenuta: vengono intercettate almeno N-1 cifre Mancanti; con N=1 è richiesta l'unica cifra mancante.
Nota: Markov rappresenta la probabilità media di copertura completa; Atteso rappresenta invece la probabilità teorica esatta della soglia qui contata.

Ordinamento: Manc. ↑, TOP ↑

===== STATISTICA PER FASCIA =====
TOP  Manc.  Soglia    Markov    Atteso   Casi  Ottenute  Mancate  Successo    Scarto  Cifre/caso     Evidenza
---  -----  ------   -------   -------  -----  --------  -------  --------  --------  ----------  -----------
  1      1       1   59.04%   59.04%  23019     13540     9479   58.82%   -0.22%       0.588       strong
  2      1       1   59.08%   59.08%   6427      3799     2628   59.11%   +0.03%       0.591       strong
  3      1       1   59.45%   59.45%   1747      1047      700   59.93%   +0.48%       0.599       strong
  4      1       1   60.95%   60.95%   1128       674      454   59.75%   -1.20%       0.598       strong
  5      1       1   59.90%   59.90%    343       202      141   58.89%   -1.01%       0.589     moderate
  6      1       1   55.46%   55.46%     18         9        9   50.00%   -5.46%       0.500  exploratory
  7      1       1   68.16%   68.16%      2         2        0  100.00%  +31.84%       1.000    anecdotal
  1      2       1   37.47%   87.64%   7605      6639      966   87.30%   -0.34%       1.249       strong
  2      2       1   38.88%   88.33%   5959      5294      665   88.84%   +0.51%       1.288       strong
  3      2       1   36.83%   87.36%    533       476       57   89.31%   +1.95%       1.285       strong
  4      2       1   36.91%   87.35%    144       121       23   84.03%   -3.32%       1.146     moderate
  5      2       1   37.87%   87.82%    159       133       26   83.65%   -4.17%       1.214     moderate
  6      2       1   37.67%   87.77%     21        18        3   85.71%   -2.05%       1.524  exploratory
  7      2       1   45.02%   91.31%      1         1        0  100.00%   +8.69%       1.000    anecdotal
  1      3       2   23.38%   72.13%   6466      4681     1785   72.39%   +0.26%       1.938       strong
  2      3       2   21.90%   70.51%    436       300      136   68.81%   -1.70%       1.862     moderate
  3      3       2   23.65%   72.42%   6091      4379     1712   71.89%   -0.53%       1.926       strong
  4      3       2   23.44%   72.03%     17        13        4   76.47%   +4.44%       2.176  exploratory
  6      3       2   20.64%   69.16%      5         4        1   80.00%  +10.84%       1.800    anecdotal
  1      4       3   13.41%   55.09%   7200      3990     3210   55.42%   +0.32%       2.588       strong
  2      4       3   13.62%   55.47%    939       531      408   56.55%   +1.08%       2.618       strong
  3      4       3   13.95%   56.05%      9         7        2   77.78%  +21.73%       2.889    anecdotal
  4      4       3   13.37%   55.02%   2217      1213     1004   54.71%   -0.31%       2.578       strong
  1      5       4    7.22%   39.36%   2087       828     1259   39.67%   +0.31%       3.242       strong
  2      5       4    7.18%   39.25%   1001       387      614   38.66%   -0.59%       3.232       strong
  3      5       4    9.97%   47.07%      1         0        1    0.00%  -47.07%       3.000    anecdotal
  5      5       4    7.12%   39.13%     97        35       62   36.08%   -3.05%       3.206  preliminary
  1      6       5    3.60%   26.21%    207        60      147   28.99%   +2.77%       3.937     moderate
  2      6       5    3.56%   26.12%     80        16       64   20.00%   -6.12%       3.837  preliminary
  3      6       5    3.68%   26.58%     32         9       23   28.12%   +1.55%       3.844  preliminary

Totale osservazioni ruota-target: 73991
Totale ottenute: 48408/73991 (65.42%)
CSV esportato: _work/reports/consolidated-coverage/coverage-hits-1871-2025.csv
