Database: data/lotto-2021-2025.sqlite3
Estrazioni target analizzate: 909
Intervallo: 4 del 2021-01-09 → 912 del 2025-12-30
Definizione ottenuta: vengono intercettate almeno N-1 cifre Mancanti; con N=1 è richiesta l'unica cifra mancante.
Nota: Markov rappresenta la probabilità media di copertura completa; Atteso rappresenta invece la probabilità teorica esatta della soglia qui contata.

Ordinamento: Manc. ↑, TOP ↑

===== STATISTICA PER FASCIA =====
TOP  Manc.  Soglia    Markov    Atteso   Casi  Ottenute  Mancate  Successo    Scarto  Cifre/caso     Evidenza
---  -----  ------   -------   -------  -----  --------  -------  --------  --------  ----------  -----------
  1      1       1   59.17%   59.17%   2164      1277      887   59.01%   -0.16%       0.590       strong
  2      1       1   59.15%   59.15%    634       367      267   57.89%   -1.26%       0.579       strong
  3      1       1   59.46%   59.46%    176       110       66   62.50%   +3.04%       0.625     moderate
  4      1       1   61.57%   61.57%    111        66       45   59.46%   -2.11%       0.595     moderate
  5      1       1   62.45%   62.45%     24        17        7   70.83%   +8.38%       0.708  exploratory
  6      1       1   68.16%   68.16%      3         2        1   66.67%   -1.50%       0.667    anecdotal
  1      2       1   37.62%   87.75%    743       635      108   85.46%   -2.29%       1.237       strong
  2      2       1   38.63%   88.21%    607       538       69   88.63%   +0.42%       1.269       strong
  3      2       1   37.67%   87.79%     61        52        9   85.25%   -2.55%       1.262  preliminary
  4      2       1   37.35%   87.54%     12         9        3   75.00%  -12.54%       1.250  exploratory
  5      2       1   37.94%   87.83%     13        12        1   92.31%   +4.47%       1.231  exploratory
  6      2       1   39.83%   88.87%      3         3        0  100.00%  +11.13%       2.000    anecdotal
  1      3       2   23.23%   71.99%    616       424      192   68.83%   -3.15%       1.903       strong
  2      3       2   22.20%   70.90%     50        31       19   62.00%   -8.90%       1.740  preliminary
  3      3       2   23.54%   72.31%    566       422      144   74.56%   +2.25%       1.958       strong
  4      3       2   18.41%   67.11%      3         2        1   66.67%   -0.45%       2.000    anecdotal
  6      3       2   28.63%   77.80%      1         1        0  100.00%  +22.20%       2.000    anecdotal
  1      4       3   13.25%   54.80%    673       383      290   56.91%   +2.11%       2.593       strong
  2      4       3   14.22%   56.62%    103        53       50   51.46%   -5.17%       2.515     moderate
  3      4       3   11.55%   51.04%      1         1        0  100.00%  +48.96%       3.000    anecdotal
  4      4       3   13.56%   55.38%    218       120       98   55.05%   -0.33%       2.592     moderate
  1      5       4    7.13%   39.11%    202        65      137   32.18%   -6.93%       3.119     moderate
  2      5       4    7.41%   39.91%    106        41       65   38.68%   -1.23%       3.236     moderate
  5      5       4    7.51%   40.22%     15         9        6   60.00%  +19.78%       3.733  exploratory
  1      6       5    3.65%   26.43%     24        11       13   45.83%  +19.40%       4.333  exploratory
  2      6       5    3.72%   26.80%      9         1        8   11.11%  -15.69%       3.667    anecdotal
  3      6       5    4.34%   29.24%      2         0        2    0.00%  -29.24%       4.000    anecdotal

Totale osservazioni ruota-target: 7140
Totale ottenute: 4652/7140 (65.15%)
CSV esportato: _work/reports/consolidated-coverage/coverage-hits-2021-2025.csv
