top,missing,threshold,markov_probability,expected_probability,cases,obtained,missed,success_rate,excess,mean_hit_digits,evidence_level
1,1,1,0.5903728509937207,0.5903728509937207,23019,13540,9479,0.5882097397801815,-0.0021631112135391817,0.5882097397801815,strong
2,1,1,0.5907501838183297,0.5907501838183297,6427,3799,2628,0.5911000466780769,0.00034986285974725195,0.5911000466780769,strong
3,1,1,0.5944807930177204,0.5944807930177204,1747,1047,700,0.5993131081854608,0.004832315167740409,0.5993131081854608,strong
4,1,1,0.6094845022332671,0.6094845022332671,1128,674,454,0.5975177304964538,-0.011966771736813264,0.5975177304964538,strong
5,1,1,0.5989870012146268,0.5989870012146268,343,202,141,0.5889212827988338,-0.010065718415792957,0.5889212827988338,moderate
6,1,1,0.5546221965643559,0.5546221965643559,18,9,9,0.5,-0.05462219656435585,0.5,exploratory
7,1,1,0.681643298359372,0.681643298359372,2,2,0,1.0,0.318356701640628,1.0,anecdotal
1,2,1,0.37466331086053856,0.8764238179531166,7605,6639,966,0.8729783037475345,-0.0034455142055821453,1.2486522024983564,strong
2,2,1,0.3888114642890296,0.8833499083696885,5959,5294,665,0.8884040946467529,0.005054186277064332,1.2884712200033563,strong
3,2,1,0.36831005933228356,0.8735796344701731,533,476,57,0.8930581613508443,0.0194785268806712,1.2851782363977486,strong
4,2,1,0.3691026939351476,0.8735138560783311,144,121,23,0.8402777777777778,-0.03323607830055331,1.1458333333333333,moderate
5,2,1,0.3787109597686315,0.8781655063897593,159,133,26,0.8364779874213837,-0.041687518968375636,1.2138364779874213,moderate
6,2,1,0.376740844314707,0.8776705222940232,21,18,3,0.8571428571428571,-0.020527665151166108,1.5238095238095237,exploratory
7,2,1,0.45020080880527974,0.9130857879134642,1,1,0,1.0,0.08691421208653582,1.0,anecdotal
1,3,2,0.23383335646462083,0.7213462110847353,6466,4681,1785,0.7239406124342715,0.0025944013495362572,1.93767398700897,strong
2,3,2,0.219028211024392,0.705096147563729,436,300,136,0.6880733944954128,-0.017022753068316132,1.8623853211009174,moderate
3,3,2,0.23646721303519166,0.7242120044375644,6091,4379,1712,0.7189295682153998,-0.0052824362221646215,1.9264488589722542,strong
4,3,2,0.2343530941442863,0.7203098247145269,17,13,4,0.7647058823529411,0.044396057638414255,2.176470588235294,exploratory
6,3,2,0.20637422675617714,0.691570630937471,5,4,1,0.8,0.10842936906252909,1.8,anecdotal
1,4,3,0.13413778938757795,0.5509349504410403,7200,3990,3210,0.5541666666666667,0.0032317162256263465,2.5880555555555556,strong
2,4,3,0.13617557486806775,0.5546508923801633,939,531,408,0.5654952076677316,0.010844315287568351,2.617678381256656,strong
3,4,3,0.1394874022070679,0.560511565289324,9,7,2,0.7777777777777778,0.2172662124884538,2.888888888888889,anecdotal
4,4,3,0.1336763285135871,0.5502233106941081,2217,1213,1004,0.5471357690572847,-0.0030875416368234543,2.578258908434822,strong
1,5,4,0.0721999487559262,0.39359864529325683,2087,828,1259,0.3967417345471969,0.003143089253940079,3.242453282223287,strong
2,5,4,0.07177435134521923,0.3924853972787194,1001,387,614,0.3866133866133866,-0.005872010665332772,3.231768231768232,strong
3,5,4,0.09966159163333481,0.4707449052393774,1,0,1,0.0,-0.4707449052393774,3.0,anecdotal
5,5,4,0.07124556858669098,0.39131526030018704,97,35,62,0.36082474226804123,-0.030490518032145808,3.2061855670103094,preliminary
1,6,5,0.03601031765646891,0.26213542198344447,207,60,147,0.2898550724637681,0.027719650480323654,3.9371980676328504,moderate
2,6,5,0.035623163279989295,0.2612462453299567,80,16,64,0.2,-0.061246245329956706,3.8375,preliminary
3,6,5,0.0368110823825327,0.26576779674692225,32,9,23,0.28125,0.015482203253077753,3.84375,preliminary
