Database: data/lotto-1951-2000.sqlite3
Estrazioni target analizzate: 2803
Intervallo: 5 del 1951-02-03 → 2807 del 2000-12-30
Definizione ottenuta: vengono intercettate almeno N-1 cifre Mancanti; con N=1 è richiesta l'unica cifra mancante.
Nota: Markov rappresenta la probabilità media di copertura completa; Atteso rappresenta invece la probabilità teorica esatta della soglia qui contata.

Ordinamento: Manc. ↑, TOP ↑

===== STATISTICA PER FASCIA =====
TOP  Manc.  Soglia    Markov    Atteso   Casi  Ottenute  Mancate  Successo    Scarto  Cifre/caso     Evidenza
---  -----  ------   -------   -------  -----  --------  -------  --------  --------  ----------  -----------
  1      1       1   59.23%   59.23%   6186      3660     2526   59.17%   -0.06%       0.592       strong
  2      1       1   59.91%   59.91%   1769      1090      679   61.62%   +1.71%       0.616       strong
  3      1       1   59.60%   59.60%    454       270      184   59.47%   -0.13%       0.595     moderate
  4      1       1   60.72%   60.72%    301       181      120   60.13%   -0.59%       0.601     moderate
  5      1       1   59.83%   59.83%     96        66       30   68.75%   +8.92%       0.688  preliminary
  6      1       1   45.30%   45.30%      4         2        2   50.00%   +4.70%       0.500    anecdotal
  7      1       1   68.16%   68.16%      2         2        0  100.00%  +31.84%       1.000    anecdotal
  1      2       1   37.41%   87.59%   2047      1785      262   87.20%   -0.39%       1.244       strong
  2      2       1   39.28%   88.52%   1590      1403      187   88.24%   -0.28%       1.267       strong
  3      2       1   35.86%   86.88%    138       125       13   90.58%   +3.70%       1.326     moderate
  4      2       1   35.11%   86.42%     34        28        6   82.35%   -4.07%       1.206  preliminary
  5      2       1   38.34%   88.05%     46        41        5   89.13%   +1.08%       1.304  preliminary
  6      2       1   37.24%   87.66%      4         4        0  100.00%  +12.34%       1.750    anecdotal
  1      3       2   23.31%   72.05%   1779      1290      489   72.51%   +0.46%       1.916       strong
  2      3       2   21.76%   70.41%    108        70       38   64.81%   -5.60%       1.833     moderate
  3      3       2   23.80%   72.57%   1631      1168      463   71.61%   -0.96%       1.924       strong
  4      3       2   28.63%   77.80%      3         2        1   66.67%  -11.13%       2.333    anecdotal
  6      3       2   18.87%   66.88%      2         1        1   50.00%  -16.88%       1.500    anecdotal
  1      4       3   13.38%   55.01%   2019      1115      904   55.23%   +0.22%       2.603       strong
  2      4       3   13.69%   55.60%    242       152       90   62.81%   +7.21%       2.723     moderate
  3      4       3   17.39%   62.36%      1         1        0  100.00%  +37.64%       3.000    anecdotal
  4      4       3   13.14%   54.63%    576       316      260   54.86%   +0.23%       2.573       strong
  1      5       4    7.21%   39.33%    602       246      356   40.86%   +1.54%       3.221       strong
  2      5       4    7.06%   38.92%    249       105      144   42.17%   +3.25%       3.305     moderate
  5      5       4    7.14%   39.11%     27         9       18   33.33%   -5.78%       3.111  exploratory
  1      6       5    3.60%   26.20%     51        13       38   25.49%   -0.71%       3.804  preliminary
  2      6       5    3.45%   25.63%     26         8       18   30.77%   +5.14%       3.885  exploratory
  3      6       5    3.81%   27.11%      8         2        6   25.00%   -2.11%       3.500    anecdotal

Totale osservazioni ruota-target: 19995
Totale ottenute: 13155/19995 (65.79%)
CSV esportato: _work/reports/consolidated-coverage/coverage-hits-1951-2000.csv
