top,missing,threshold,markov_probability,expected_probability,cases,obtained,missed,success_rate,excess,mean_hit_digits,evidence_level
1,1,1,0.5890432315132262,0.5890432315132262,2716,1591,1125,0.5857879234167894,-0.0032553080964368153,0.5857879234167894,strong
2,1,1,0.595289436413244,0.595289436413244,744,440,304,0.5913978494623656,-0.003891586950878434,0.5913978494623656,strong
3,1,1,0.5883681012203452,0.5883681012203452,201,124,77,0.6169154228855721,0.028547321665226888,0.6169154228855721,moderate
4,1,1,0.6013928804041102,0.6013928804041102,151,101,50,0.6688741721854304,0.06748129178132023,0.6688741721854304,moderate
5,1,1,0.5981024967941884,0.5981024967941884,52,26,26,0.5,-0.09810249679418837,0.5,preliminary
6,1,1,0.681643298359372,0.681643298359372,1,0,1,0.0,-0.681643298359372,0.0,anecdotal
1,2,1,0.3712836369021453,0.8746887107788436,916,805,111,0.87882096069869,0.004132249919846398,1.2510917030567685,strong
2,2,1,0.38218579878399167,0.8801847225776085,725,640,85,0.8827586206896552,0.0025738981120466686,1.2882758620689656,strong
3,2,1,0.36652110685759715,0.8723595283972045,68,58,10,0.8529411764705882,-0.01941835192661634,1.1764705882352942,preliminary
4,2,1,0.37648546932507915,0.8784989248105459,19,15,4,0.7894736842105263,-0.0890252406000196,1.0526315789473684,exploratory
5,2,1,0.350301954303044,0.8650424179720929,17,15,2,0.8823529411764706,0.017310523204377648,1.0588235294117647,exploratory
6,2,1,0.45020080880527974,0.9130857879134642,1,1,0,1.0,0.08691421208653582,2.0,anecdotal
1,3,2,0.23386538206245183,0.7213566002409378,778,551,227,0.7082262210796915,-0.013130379161246375,1.924164524421594,strong
2,3,2,0.2229867731319254,0.7082882871841456,53,35,18,0.660377358490566,-0.0479109286935796,1.830188679245283,preliminary
3,3,2,0.23402174900392383,0.7217983806865965,733,516,217,0.703956343792633,-0.017842036893963464,1.893587994542974,strong
4,3,2,0.23977499465975174,0.7222078988892375,2,1,1,0.5,-0.22220789888923753,2.0,anecdotal
6,3,2,0.18410704815379403,0.6711457856362932,1,1,0,1.0,0.32885421436370676,2.0,anecdotal
1,4,3,0.13473280491553455,0.5521074583044134,831,448,383,0.5391095066185319,-0.012997951685881581,2.555956678700361,strong
2,4,3,0.13427652253502828,0.5508516063339212,128,68,60,0.53125,-0.019601606333921162,2.578125,moderate
3,4,3,0.1738782543545434,0.6236326393422524,2,2,0,1.0,0.37636736065774756,3.5,anecdotal
4,4,3,0.1332925126412825,0.5492048804258625,258,142,116,0.5503875968992248,0.0011827164733623219,2.627906976744186,moderate
1,5,4,0.07240920262283888,0.39404635633337326,259,106,153,0.4092664092664093,0.015220052933036021,3.2316602316602316,moderate
2,5,4,0.07007749415595657,0.3877342198931992,105,47,58,0.44761904761904764,0.059884827725848466,3.257142857142857,moderate
3,5,4,0.09966159163333481,0.4707449052393774,1,0,1,0.0,-0.4707449052393774,3.0,anecdotal
5,5,4,0.06647048895861773,0.3789575744469737,9,1,8,0.1111111111111111,-0.2678464633358626,2.6666666666666665,anecdotal
1,6,5,0.036305782645312326,0.2628472446913112,21,7,14,0.3333333333333333,0.0704860886420221,4.142857142857143,exploratory
2,6,5,0.038745199188690696,0.273846608776283,7,1,6,0.14285714285714285,-0.13098946591914012,3.7142857142857144,anecdotal
3,6,5,0.0326326800255242,0.24936748434581474,5,2,3,0.4,0.15063251565418528,4.0,anecdotal
