top,missing,threshold,markov_probability,expected_probability,cases,obtained,missed,success_rate,excess,mean_hit_digits,evidence_level
1,1,1,0.5903243535813716,0.5903243535813716,7048,4105,2943,0.5824347332576617,-0.007889620323709878,0.5824347332576617,strong
2,1,1,0.5891537617446106,0.5891537617446106,1901,1107,794,0.5823250920568122,-0.006828669687798494,0.5823250920568122,strong
3,1,1,0.5943606418186627,0.5943606418186627,537,326,211,0.6070763500931099,0.012715708274447235,0.6070763500931099,strong
4,1,1,0.6110242270861795,0.6110242270861795,327,189,138,0.5779816513761468,-0.03304257571003277,0.5779816513761468,moderate
5,1,1,0.5944308717660929,0.5944308717660929,97,58,39,0.5979381443298969,0.003507272563804009,0.5979381443298969,preliminary
6,1,1,0.5901881050669604,0.5901881050669604,5,3,2,0.6,0.009811894933039578,0.6,anecdotal
1,2,1,0.3766715481600666,0.8775335790259882,2270,1980,290,0.8722466960352423,-0.005286882990745867,1.251101321585903,strong
2,2,1,0.3879242247508792,0.8829781755833181,1772,1584,188,0.8939051918735892,0.010927016290271041,1.2957110609480813,strong
3,2,1,0.37351883224625965,0.8761959558087051,153,138,15,0.9019607843137255,0.025764828505020376,1.34640522875817,moderate
4,2,1,0.37592642700872486,0.8755816001304049,45,39,6,0.8666666666666667,-0.008914933463738173,1.1333333333333333,preliminary
5,2,1,0.3893067274320293,0.8833874608366843,53,43,10,0.8113207547169812,-0.07206670611970312,1.2452830188679245,preliminary
6,2,1,0.39066299352244044,0.8811684099038919,5,3,2,0.6,-0.2811684099038919,1.0,anecdotal
1,3,2,0.2338831197537286,0.7214568140592701,1938,1429,509,0.737358101135191,0.015901287075920867,1.9587203302373581,strong
2,3,2,0.2188424578112427,0.7043346649852052,128,92,36,0.71875,0.01441533501479475,1.9296875,moderate
3,3,2,0.236619208347597,0.7243481603141282,1856,1330,526,0.7165948275862069,-0.007753332727921336,1.9401939655172413,strong
4,3,2,0.2472581477352478,0.7342998067681127,5,5,0,1.0,0.2657001932318873,2.2,anecdotal
1,4,3,0.13452291858047902,0.5518195246592098,2154,1199,955,0.5566388115134633,0.0048192868542534795,2.5677808727948004,strong
2,4,3,0.13612477166141737,0.5546726512032009,295,163,132,0.5525423728813559,-0.0021302783218449806,2.593220338983051,moderate
3,4,3,0.11158204804078492,0.5099759113166572,3,2,1,0.6666666666666666,0.15669075535000943,3.0,anecdotal
4,4,3,0.13474738029068375,0.5521197399472976,704,386,318,0.5482954545454546,-0.003824285401842986,2.5681818181818183,strong
1,5,4,0.07251892279216843,0.39451509849879296,597,226,371,0.3785594639865997,-0.015955634512193284,3.2261306532663316,strong
2,5,4,0.07236324717447057,0.3941664387663378,304,105,199,0.34539473684210525,-0.048771701924232524,3.151315789473684,moderate
5,5,4,0.06971700160057268,0.3872016238700494,32,12,20,0.375,-0.012201623870049416,3.1875,preliminary
1,6,5,0.035372043706653714,0.25961551417702394,63,19,44,0.30158730158730157,0.04197178741027763,3.9047619047619047,preliminary
2,6,5,0.03525751009095325,0.25976446843210255,25,4,21,0.16,-0.09976446843210254,4.0,exploratory
3,6,5,0.036369661492428235,0.26399147307754967,6,1,5,0.16666666666666666,-0.09732480641088301,3.6666666666666665,anecdotal
