top,missing,threshold,markov_probability,expected_probability,cases,obtained,missed,success_rate,excess,mean_hit_digits,evidence_level
1,1,1,0.5883082449787299,0.5883082449787299,4865,2882,1983,0.5923946557040082,0.004086410725278267,0.5923946557040082,strong
2,1,1,0.5794326002312568,0.5794326002312568,1369,787,582,0.5748721694667641,-0.00456043076449264,0.5748721694667641,strong
3,1,1,0.5944560140872729,0.5944560140872729,375,216,159,0.576,-0.01845601408727293,0.576,moderate
4,1,1,0.613247320469748,0.613247320469748,234,134,100,0.5726495726495726,-0.040597747820175334,0.5726495726495726,moderate
5,1,1,0.6002105920031151,0.6002105920031151,73,34,39,0.4657534246575342,-0.13445716734558089,0.4657534246575342,preliminary
6,1,1,0.4987329117745488,0.4987329117745488,5,2,3,0.4,-0.09873291177454879,0.4,anecdotal
1,2,1,0.37402008827028,0.8760821966504732,1612,1420,192,0.8808933002481389,0.004811103597665789,1.2580645161290323,strong
2,2,1,0.3904494901092528,0.8841146382162551,1255,1120,135,0.8924302788844621,0.008315640668207003,1.3163346613545817,strong
3,2,1,0.36894782439834944,0.8738955490111918,112,102,10,0.9107142857142857,0.03681873670309388,1.2321428571428572,moderate
4,2,1,0.37239017268729024,0.8765774324159392,34,30,4,0.8823529411764706,0.005775508760531345,1.1176470588235294,preliminary
5,2,1,0.36855814375186713,0.8727881952436614,30,22,8,0.7333333333333333,-0.13945486191032808,1.1,preliminary
6,2,1,0.35293751365779286,0.8674503435415579,8,7,1,0.875,0.007549656458442078,1.5,anecdotal
7,2,1,0.45020080880527974,0.9130857879134642,1,1,0,1.0,0.08691421208653582,1.0,anecdotal
1,3,2,0.23557998840754227,0.7231266998176885,1349,985,364,0.7301704966641956,0.007043796846507133,1.9599703484062267,strong
2,3,2,0.21722366178738292,0.7034087627307951,97,71,26,0.7319587628865979,0.02855000015580278,1.8762886597938144,preliminary
3,3,2,0.2360817735587585,0.7238030188867859,1301,941,360,0.7232897770945427,-0.0005132417922432131,1.9169869331283629,strong
4,3,2,0.21422254404783259,0.6955021639950864,4,3,1,0.75,0.05449783600491365,2.25,anecdotal
6,3,2,0.18410704815379403,0.6711457856362932,1,1,0,1.0,0.32885421436370676,2.0,anecdotal
1,4,3,0.13451476549225197,0.5515007482389105,1517,840,677,0.5537244561634805,0.002223707924570051,2.6097560975609757,strong
2,4,3,0.13292862113740078,0.5485587983594434,168,94,74,0.5595238095238095,0.0109650111643661,2.607142857142857,moderate
3,4,3,0.1417484700769077,0.5667072885036446,2,1,1,0.5,-0.0667072885036446,2.0,anecdotal
4,4,3,0.1342161308192141,0.5511963505710296,455,248,207,0.545054945054945,-0.006141405516084553,2.575824175824176,moderate
1,5,4,0.07222508338703816,0.3936896353035992,423,184,239,0.43498817966903075,0.041298544365431566,3.3640661938534278,moderate
2,5,4,0.07194073161061257,0.3928959540868458,237,89,148,0.3755274261603376,-0.017368527926508226,3.240506329113924,moderate
5,5,4,0.07337627817340919,0.39733603754219526,14,4,10,0.2857142857142857,-0.11162175182790957,3.2142857142857144,exploratory
1,6,5,0.03645533413662335,0.2641637228178639,48,10,38,0.20833333333333334,-0.055830389484530535,3.8333333333333335,preliminary
2,6,5,0.03586077054536207,0.2624213515386041,13,2,11,0.15384615384615385,-0.10857519769245022,3.6153846153846154,exploratory
3,6,5,0.03678415593344434,0.26547125364470886,11,4,7,0.36363636363636365,0.09816510999165479,4.090909090909091,exploratory
